purge,economic_order,economic_winner,rank_of_upstream_winner_1wtRe_250C,rank_of_5wtRe_250C,spearman,kendall,pairwise_inversions,NPC_1 wt% Re | 200 C,NPC_5 wt% Re | 200 C,NPC_1 wt% Re | 250 C,NPC_5 wt% Re | 250 C
0.034,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1033.16,977.41,1028.68,1289.43
0.035,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1037.87,979.83,1032.5,1291.7
0.036,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1042.57,982.26,1036.32,1293.98
0.037,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1047.27,984.69,1040.14,1296.26
0.038,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1051.97,987.11,1043.95,1298.54
0.039,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1056.66,989.54,1047.76,1300.83
0.04,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1061.36,991.96,1051.58,1303.11
0.041,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1066.05,994.38,1055.39,1305.4
0.042,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1070.74,996.81,1059.2,1307.69
0.043,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1075.43,999.23,1063.0,1309.98
0.044,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1080.11,1001.65,1066.81,1312.28
0.045,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1084.8,1004.07,1070.61,1314.57
0.046,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1089.48,1006.48,1074.42,1316.87
0.047,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1094.16,1008.9,1078.22,1319.16
0.048,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1098.84,1011.32,1082.02,1321.46
0.049,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1103.51,1013.73,1085.82,1323.76
