purge,economic_order,economic_winner,rank_of_upstream_winner_1wtRe_250C,rank_of_5wtRe_250C,spearman,kendall,pairwise_inversions,NPC_1 wt% Re | 200 C,NPC_5 wt% Re | 200 C,NPC_1 wt% Re | 250 C,NPC_5 wt% Re | 250 C
0.131,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1483.28,1209.82,1394.37,1512.78
0.132,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1487.89,1212.19,1398.11,1515.09
0.133,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1492.49,1214.57,1401.85,1517.39
0.134,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1497.09,1216.94,1405.59,1519.69
0.135,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1501.69,1219.31,1409.32,1521.99
0.136,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1506.28,1221.69,1413.06,1524.29
0.137,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1510.88,1224.06,1416.8,1526.59
0.138,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1515.48,1226.43,1420.53,1528.89
0.139,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1520.08,1228.8,1424.27,1531.19
0.14,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1524.68,1231.18,1428.0,1533.49
0.141,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1529.27,1233.55,1431.74,1535.79
0.142,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1533.87,1235.92,1435.47,1538.09
0.143,5 wt% Re | 200 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C > 5 wt% Re | 250 C,5 wt% Re | 200 C,2,4,0.4,0.333,2,1538.46,1238.29,1439.21,1540.39
0.144,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1543.06,1240.66,1442.94,1542.69
0.145,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1547.65,1243.03,1446.67,1544.99
0.146,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1552.25,1245.4,1450.4,1547.29
0.147,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1556.84,1247.77,1454.14,1549.59
0.148,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1561.44,1250.14,1457.87,1551.89
0.149,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1566.03,1252.51,1461.6,1554.19
0.15,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1570.62,1254.88,1465.33,1556.49
0.151,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1575.21,1257.25,1469.06,1558.79
0.152,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1579.8,1259.62,1472.79,1561.09
0.153,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1584.4,1261.99,1476.52,1563.38
0.154,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1588.99,1264.36,1480.25,1565.68
0.155,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1593.58,1266.73,1483.98,1567.98
0.156,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1598.17,1269.1,1487.71,1570.28
0.157,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1602.76,1271.46,1491.44,1572.58
0.158,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1607.35,1273.83,1495.17,1574.87
0.159,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1611.93,1276.2,1498.89,1577.17
0.16,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1616.52,1278.57,1502.62,1579.47
0.161,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1621.11,1280.93,1506.35,1581.77
0.162,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1625.7,1283.3,1510.08,1584.06
0.163,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1630.28,1285.67,1513.8,1586.36
0.164,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1634.87,1288.03,1517.53,1588.66
0.165,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1639.46,1290.4,1521.26,1590.95
0.166,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1644.04,1292.76,1524.98,1593.25
0.167,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1648.63,1295.13,1528.71,1595.55
0.168,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1653.21,1297.5,1532.43,1597.84
0.169,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1657.8,1299.86,1536.16,1600.14
0.17,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1662.38,1302.23,1539.88,1602.44
0.171,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1666.97,1304.59,1543.6,1604.73
0.172,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1671.55,1306.95,1547.33,1607.03
0.173,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1676.13,1309.32,1551.05,1609.32
0.174,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1680.71,1311.68,1554.77,1611.62
0.175,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1685.3,1314.05,1558.5,1613.91
0.176,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1689.88,1316.41,1562.22,1616.21
0.177,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1694.46,1318.77,1565.94,1618.51
0.178,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1699.04,1321.14,1569.66,1620.8
0.179,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1703.62,1323.5,1573.38,1623.1
0.18,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1708.2,1325.86,1577.11,1625.39
0.181,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1712.78,1328.22,1580.83,1627.68
0.182,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1717.36,1330.59,1584.55,1629.98
0.183,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1721.94,1332.95,1588.27,1632.27
0.184,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1726.52,1335.31,1591.99,1634.57
0.185,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1731.1,1337.67,1595.71,1636.86
0.186,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1735.68,1340.03,1599.43,1639.16
0.187,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1740.26,1342.4,1603.15,1641.45
0.188,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1744.83,1344.76,1606.86,1643.74
0.189,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1749.41,1347.12,1610.58,1646.04
0.19,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1753.99,1349.48,1614.3,1648.33
0.191,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1758.57,1351.84,1618.02,1650.62
0.192,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1763.14,1354.2,1621.74,1652.92
0.193,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1767.72,1356.56,1625.46,1655.21
0.194,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1772.29,1358.92,1629.17,1657.5
0.195,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1776.87,1361.28,1632.89,1659.8
0.196,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1781.44,1363.64,1636.61,1662.09
0.197,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1786.02,1366.0,1640.32,1664.38
0.198,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1790.59,1368.36,1644.04,1666.67
0.199,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1795.17,1370.72,1647.75,1668.97
0.2,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1799.74,1373.08,1651.47,1671.26
0.201,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1804.31,1375.44,1655.19,1673.55
0.202,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1808.89,1377.79,1658.9,1675.84
0.203,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1813.46,1380.15,1662.62,1678.13
0.204,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1818.03,1382.51,1666.33,1680.43
0.205,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1822.6,1384.87,1670.04,1682.72
0.206,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1827.18,1387.23,1673.76,1685.01
0.207,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1831.75,1389.58,1677.47,1687.3
0.208,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1836.32,1391.94,1681.19,1689.59
0.209,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1840.89,1394.3,1684.9,1691.88
0.21,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1845.46,1396.66,1688.61,1694.17
0.211,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1850.03,1399.01,1692.33,1696.46
0.212,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1854.6,1401.37,1696.04,1698.76
0.213,5 wt% Re | 200 C > 1 wt% Re | 250 C > 5 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,2,3,0.0,0.0,3,1859.17,1403.73,1699.75,1701.05
0.214,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1863.74,1406.08,1703.46,1703.34
0.215,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1868.31,1408.44,1707.17,1705.63
0.216,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1872.88,1410.8,1710.89,1707.92
0.217,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1877.45,1413.15,1714.6,1710.21
0.218,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1882.02,1415.51,1718.31,1712.5
0.219,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1886.58,1417.86,1722.02,1714.79
0.22,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1891.15,1420.22,1725.73,1717.08
0.221,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1895.72,1422.57,1729.44,1719.37
0.222,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1900.29,1424.93,1733.15,1721.66
0.223,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1904.85,1427.29,1736.86,1723.95
0.224,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1909.42,1429.64,1740.57,1726.24
0.225,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1913.99,1431.99,1744.28,1728.53
0.226,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1918.55,1434.35,1747.99,1730.81
0.227,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1923.12,1436.7,1751.7,1733.1
0.228,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1927.68,1439.06,1755.41,1735.39
0.229,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1932.25,1441.41,1759.12,1737.68
0.23,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1936.81,1443.77,1762.82,1739.97
0.231,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1941.38,1446.12,1766.53,1742.26
0.232,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1945.94,1448.47,1770.24,1744.55
0.233,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1950.51,1450.83,1773.95,1746.84
0.234,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1955.07,1453.18,1777.66,1749.12
0.235,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1959.64,1455.53,1781.36,1751.41
0.236,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1964.2,1457.89,1785.07,1753.7
0.237,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1968.76,1460.24,1788.78,1755.99
0.238,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1973.33,1462.59,1792.48,1758.28
0.239,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1977.89,1464.95,1796.19,1760.56
0.24,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1982.45,1467.3,1799.9,1762.85
0.241,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1987.01,1469.65,1803.6,1765.14
0.242,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1991.57,1472.0,1807.31,1767.43
0.243,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,1996.14,1474.35,1811.01,1769.71
0.244,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2000.7,1476.71,1814.72,1772.0
0.245,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2005.26,1479.06,1818.42,1774.29
0.246,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2009.82,1481.41,1822.13,1776.58
0.247,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2014.38,1483.76,1825.83,1778.86
0.248,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2018.94,1486.11,1829.54,1781.15
0.249,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2023.5,1488.46,1833.24,1783.44
0.25,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2028.06,1490.82,1836.95,1785.72
0.251,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2032.62,1493.17,1840.65,1788.01
0.252,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2037.18,1495.52,1844.35,1790.3
0.253,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2041.74,1497.87,1848.06,1792.58
0.254,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2046.3,1500.22,1851.76,1794.87
0.255,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2050.86,1502.57,1855.46,1797.15
0.256,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2055.42,1504.92,1859.17,1799.44
0.257,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2059.97,1507.27,1862.87,1801.73
0.258,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2064.53,1509.62,1866.57,1804.01
0.259,5 wt% Re | 200 C > 5 wt% Re | 250 C > 1 wt% Re | 250 C > 1 wt% Re | 200 C,5 wt% Re | 200 C,3,2,-0.6,-0.333,4,2069.09,1511.97,1870.28,1806.3
