delta_left,delta_right,delta_count,alpha_left,alpha_right,alpha_count
2.3823780548685285,2.828911187021524,36,38.95626115553903,43.41989520350687,1
2.828911187021524,3.27544431917452,123,43.41989520350687,48.39497537908507,14
3.27544431917452,3.7219774513275157,185,48.39497537908507,53.94010351625832,34
3.7219774513275157,4.168510583480511,221,53.94010351625832,60.12059608572673,44
4.168510583480511,4.615043715633508,220,60.12059608572673,67.0092535624008,89
4.615043715633508,5.061576847786503,257,67.0092535624008,74.68721794753057,131
5.061576847786503,5.5081099799394995,299,74.68721794753057,83.24492854628474,177
5.5081099799394995,5.954643112092494,318,83.24492854628474,92.78318725895417,224
5.954643112092494,6.401176244245491,293,92.78318725895417,103.41434593392255,253
6.401176244245491,6.847709376398487,333,103.41434593392255,115.26362976832228,257
6.847709376398487,7.294242508551482,357,115.26362976832228,128.4706123448082,351
7.294242508551482,7.740775640704478,342,128.4706123448082,143.190859679017,315
7.740775640704478,8.187308772857474,317,143.190859679017,159.59776264306515,325
8.187308772857474,8.63384190501047,261,159.59776264306515,177.88457934933896,348
8.63384190501047,9.080375037163465,279,177.88457934933896,198.2667115519629,369
9.080375037163465,9.52690816931646,239,198.2667115519629,220.98424187984784,359
9.52690816931646,9.973441301469457,204,220.98424187984784,246.30476178756982,286
9.973441301469457,10.419974433622453,179,246.30476178756982,274.52652353472575,288
10.419974433622453,10.866507565775448,162,274.52652353472575,305.9819533211547,266
10.866507565775448,11.313040697928445,114,305.9819533211547,341.0415669595084,225
11.313040697928445,11.75957383008144,72,341.0415669595084,380.11833420816214,187
11.75957383008144,12.206106962234436,70,380.11833420816214,423.6725431722611,119
12.206106962234436,12.652640094387431,44,423.6725431722611,472.2172220710456,106
12.652640094387431,13.099173226540428,33,472.2172220710456,526.3241822348399,99
13.099173226540428,13.545706358693423,15,526.3241822348399,586.6307535126184,59
13.545706358693423,13.99223949084642,14,586.6307535126184,653.8472914270023,42
13.99223949084642,14.438772622999414,6,653.8472914270023,728.7655445040216,21
14.438772622999414,14.88530575515241,4,728.7655445040216,812.2679803370206,7
14.88530575515241,15.331838887305405,2,812.2679803370206,905.3381802371182,4
15.331838887305405,15.778372019458402,1,,,
