price_USD_kg,cost,T_C,P_bar,Tsep_C,V_m3,metal_cost,reactor_base,vessel_pressure_premium,fresh_comp,recycle_comp,refrigeration,compressor_capex
1.0,14.678122264174764,425.0,170.0,30.0,9.42299049432817,0.004858241169786643,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
1.053953,14.678384380860598,425.0,170.0,30.0,9.42299049432817,0.005120357855620141,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
1.110817,14.678660639886475,425.0,170.0,30.0,9.42299049432817,0.0053966168814988886,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
1.17075,14.678951808854505,425.0,170.0,30.0,9.42299049432817,0.005687785849527712,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
1.233915,14.679258679657995,425.0,170.0,30.0,9.42299049432817,0.005994656653017285,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
1.300489,14.679582112205631,425.0,170.0,30.0,9.42299049432817,0.006318089200654662,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
1.370655,14.67992299555555,425.0,170.0,30.0,9.42299049432817,0.00665897255057391,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
1.444606,14.680282267348298,425.0,170.0,30.0,9.42299049432817,0.007018244343320803,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
1.522547,14.680660923523313,425.0,170.0,30.0,9.42299049432817,0.007396900518335144,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
1.604693,14.681060008602445,425.0,170.0,30.0,9.42299049432817,0.0077959855974684385,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
1.691272,14.681480630264684,425.0,170.0,30.0,9.42299049432817,0.008216607259707395,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
1.782521,14.681923939913187,425.0,170.0,30.0,9.42299049432817,0.008659916908209256,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
1.878694,14.682391171541209,425.0,170.0,30.0,9.42299049432817,0.009127148536231148,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
1.980056,14.68288361258266,425.0,170.0,30.0,9.42299049432817,0.009619589577683062,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
2.086886,14.683402618486829,425.0,170.0,30.0,9.42299049432817,0.010138595481851368,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
2.19948,14.6839496272931,425.0,170.0,30.0,9.42299049432817,0.010685604288122326,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
2.318149,14.684526149914477,425.0,170.0,30.0,9.42299049432817,0.011262126909499737,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
2.443221,14.685133779854064,425.0,170.0,30.0,9.42299049432817,0.01186975684908729,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
2.575041,14.685774193205065,425.0,170.0,30.0,9.42299049432817,0.012510170200088568,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
2.713972,14.686449153509026,425.0,170.0,30.0,9.42299049432817,0.013185130504048194,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
2.8604,14.687160536047035,425.0,170.0,30.0,9.42299049432817,0.013896513042057714,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
3.014728,14.687910298690285,425.0,170.0,30.0,9.42299049432817,0.014646275685308546,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
3.177382,14.688700511049516,425.0,170.0,30.0,9.42299049432817,0.015436488044539025,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
3.348812,14.689533359333252,425.0,170.0,30.0,9.42299049432817,0.016269336328275548,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
3.529491,14.690411141489568,425.0,170.0,30.0,9.42299049432817,0.01714711848459143,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
3.719919,14.691336286639048,425.0,170.0,30.0,9.42299049432817,0.01807226363407156,0.09119253493935416,0.41129983829488576,9.351406420009743,0.9447068728627633,0.0,3.87465835689823
