Purge,1 wt% Re / 200 C,5 wt% Re / 200 C,1 wt% Re / 250 C,5 wt% Re / 250 C
14.1,1529.27,1233.55,1431.74,1535.79
14.2,1533.87,1235.92,1435.47,1538.09
14.3,1538.46,1238.29,1439.21,1540.39
14.4,1543.06,1240.66,1442.94,1542.69
14.5,1547.65,1243.03,1446.67,1544.99
14.6,1552.25,1245.4,1450.4,1547.29
14.7,1556.84,1247.77,1454.14,1549.59
14.8,1561.44,1250.14,1457.87,1551.89
14.9,1566.03,1252.51,1461.6,1554.19
15,1570.62,1254.88,1465.33,1556.49
15.1,1575.21,1257.25,1469.06,1558.79
15.2,1579.8,1259.62,1472.79,1561.09
15.3,1584.4,1261.99,1476.52,1563.38
15.4,1588.99,1264.36,1480.25,1565.68
15.5,1593.58,1266.73,1483.98,1567.98
15.6,1598.17,1269.1,1487.71,1570.28
15.7,1602.76,1271.46,1491.44,1572.58
15.8,1607.35,1273.83,1495.17,1574.87
15.9,1611.93,1276.2,1498.89,1577.17
16,1616.52,1278.57,1502.62,1579.47
16.1,1621.11,1280.93,1506.35,1581.77
16.2,1625.7,1283.3,1510.08,1584.06
16.3,1630.28,1285.67,1513.8,1586.36
16.4,1634.87,1288.03,1517.53,1588.66
16.5,1639.46,1290.4,1521.26,1590.95
16.6,1644.04,1292.76,1524.98,1593.25
16.7,1648.63,1295.13,1528.71,1595.55
16.8,1653.21,1297.5,1532.43,1597.84
16.9,1657.8,1299.86,1536.16,1600.14
17,1662.38,1302.23,1539.88,1602.44
17.1,1666.97,1304.59,1543.6,1604.73
17.2,1671.55,1306.95,1547.33,1607.03
17.3,1676.13,1309.32,1551.05,1609.32
17.4,1680.71,1311.68,1554.77,1611.62
17.5,1685.3,1314.05,1558.5,1613.91
17.6,1689.88,1316.41,1562.22,1616.21
17.7,1694.46,1318.77,1565.94,1618.51
17.8,1699.04,1321.14,1569.66,1620.8
17.9,1703.62,1323.5,1573.38,1623.1
18,1708.2,1325.86,1577.11,1625.39
18.1,1712.78,1328.22,1580.83,1627.68
18.2,1717.36,1330.59,1584.55,1629.98
18.3,1721.94,1332.95,1588.27,1632.27
18.4,1726.52,1335.31,1591.99,1634.57
18.5,1731.1,1337.67,1595.71,1636.86
18.6,1735.68,1340.03,1599.43,1639.16
18.7,1740.26,1342.4,1603.15,1641.45
18.8,1744.83,1344.76,1606.86,1643.74
18.9,1749.41,1347.12,1610.58,1646.04
19,1753.99,1349.48,1614.3,1648.33
19.1,1758.57,1351.84,1618.02,1650.62
19.2,1763.14,1354.2,1621.74,1652.92
19.3,1767.72,1356.56,1625.46,1655.21
19.4,1772.29,1358.92,1629.17,1657.5
19.5,1776.87,1361.28,1632.89,1659.8
19.6,1781.44,1363.64,1636.61,1662.09
19.7,1786.02,1366,1640.32,1664.38
19.8,1790.59,1368.36,1644.04,1666.67
19.9,1795.17,1370.72,1647.75,1668.97
20,1799.74,1373.08,1651.47,1671.26
20.1,1804.31,1375.44,1655.19,1673.55
20.2,1808.89,1377.79,1658.9,1675.84
20.3,1813.46,1380.15,1662.62,1678.13
20.4,1818.03,1382.51,1666.33,1680.43
20.5,1822.6,1384.87,1670.04,1682.72
20.6,1827.18,1387.23,1673.76,1685.01
20.7,1831.75,1389.58,1677.47,1687.3
20.8,1836.32,1391.94,1681.19,1689.59
20.9,1840.89,1394.3,1684.9,1691.88
21,1845.46,1396.66,1688.61,1694.17
21.1,1850.03,1399.01,1692.33,1696.46
21.2,1854.6,1401.37,1696.04,1698.76
21.3,1859.17,1403.73,1699.75,1701.05
21.4,1863.74,1406.08,1703.46,1703.34
21.5,1868.31,1408.44,1707.17,1705.63
21.6,1872.88,1410.8,1710.89,1707.92
21.7,1877.45,1413.15,1714.6,1710.21
21.8,1882.02,1415.51,1718.31,1712.5
21.9,1886.58,1417.86,1722.02,1714.79
22,1891.15,1420.22,1725.73,1717.08
22.1,1895.72,1422.57,1729.44,1719.37
22.2,1900.29,1424.93,1733.15,1721.66
22.3,1904.85,1427.29,1736.86,1723.95
22.4,1909.42,1429.64,1740.57,1726.24
22.5,1913.99,1431.99,1744.28,1728.53
22.6,1918.55,1434.35,1747.99,1730.81
22.7,1923.12,1436.7,1751.7,1733.1
22.8,1927.68,1439.06,1755.41,1735.39
22.9,1932.25,1441.41,1759.12,1737.68
23,1936.81,1443.77,1762.82,1739.97
23.1,1941.38,1446.12,1766.53,1742.26
23.2,1945.94,1448.47,1770.24,1744.55
23.3,1950.51,1450.83,1773.95,1746.84
23.4,1955.07,1453.18,1777.66,1749.12
23.5,1959.64,1455.53,1781.36,1751.41
23.6,1964.2,1457.89,1785.07,1753.7
23.7,1968.76,1460.24,1788.78,1755.99
23.8,1973.33,1462.59,1792.48,1758.28
23.9,1977.89,1464.95,1796.19,1760.56
24,1982.45,1467.3,1799.9,1762.85
24.1,1987.01,1469.65,1803.6,1765.14
24.2,1991.57,1472,1807.31,1767.43
24.3,1996.14,1474.35,1811.01,1769.71
24.4,2000.7,1476.71,1814.72,1772
24.5,2005.26,1479.06,1818.42,1774.29
24.6,2009.82,1481.41,1822.13,1776.58
24.7,2014.38,1483.76,1825.83,1778.86
24.8,2018.94,1486.11,1829.54,1781.15
24.9,2023.5,1488.46,1833.24,1783.44
25,2028.06,1490.82,1836.95,1785.72
25.1,2032.62,1493.17,1840.65,1788.01
25.2,2037.18,1495.52,1844.35,1790.3
25.3,2041.74,1497.87,1848.06,1792.58
25.4,2046.3,1500.22,1851.76,1794.87
25.5,2050.86,1502.57,1855.46,1797.15
25.6,2055.42,1504.92,1859.17,1799.44
25.7,2059.97,1507.27,1862.87,1801.73
25.8,2064.53,1509.62,1866.57,1804.01
25.9,2069.09,1511.97,1870.28,1806.3
26,2073.65,1514.32,1873.98,1808.58
26.1,2078.2,1516.67,1877.68,1810.87
26.2,2082.76,1519.02,1881.38,1813.15
26.3,2087.32,1521.37,1885.08,1815.44
26.4,2091.88,1523.72,1888.78,1817.72
26.5,2096.43,1526.07,1892.49,1820.01
26.6,2100.99,1528.42,1896.19,1822.29
26.7,2105.54,1530.76,1899.89,1824.58
26.8,2110.1,1533.11,1903.59,1826.86
26.9,2114.66,1535.46,1907.29,1829.15
27,2119.21,1537.81,1910.99,1831.43
27.1,2123.77,1540.16,1914.69,1833.72
27.2,2128.32,1542.51,1918.39,1836
27.3,2132.88,1544.85,1922.09,1838.29
27.4,2137.43,1547.2,1925.79,1840.57
27.5,2141.98,1549.55,1929.49,1842.86
