failure_mode,class,description,model,tier,variant,budget_CU,n_runs,n_failed,fraction
wrong_winner,decision_correctness,industrial winner != Fe,gpt-5.5-2026-04-23,strong,named,2000,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,anonymous,all,35,11,0.3142857142857143
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,anonymous,200,5,5,1.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,anonymous,250,5,4,0.8
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,anonymous,300,5,2,0.4
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,anonymous,500,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,anonymous,800,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,anonymous,1200,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,anonymous,2000,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,named,all,35,10,0.2857142857142857
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,named,200,5,5,1.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,named,250,5,3,0.6
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,named,300,5,2,0.4
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,named,500,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,named,800,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,named,1200,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-nano-2026-03-17,weak,named,2000,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,anonymous,all,35,15,0.42857142857142855
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,anonymous,200,5,3,0.6
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,anonymous,250,5,3,0.6
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,anonymous,300,5,4,0.8
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,anonymous,500,5,2,0.4
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,anonymous,800,5,0,0.0
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,anonymous,1200,5,1,0.2
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,anonymous,2000,5,2,0.4
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,named,all,35,5,0.14285714285714285
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,named,200,5,1,0.2
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,named,250,5,3,0.6
wrong_pair,decision_correctness,pair decision wrong or Ru/Fe not both optimized,gpt-5.4-mini-2026-03-17,medium,named,300,5,1,0.2
