metal,P_bar,cost,T_C,Tsep_C,V_m3,metal_cost,reactor,fresh_comp,recycle_comp,refrig,logTOF
Fe,35.0,115.61132842152593,450.0,-40.0,87.88380639945876,0.3624842679524324,1.0943913345393759,0.8310416118494507,75.55235465822973,11.263154637828702,-5.570280754903245
Fe,40.0,34.00055368777289,425.0,-40.0,78.13399067125331,0.3222703199943086,1.0827295569527862,1.5509226002663583,14.167426019343887,11.263154637828702,-5.519211902545887
Fe,45.0,28.119723451746044,425.0,-40.0,56.0963398230624,0.2313741462579491,0.850136438355025,2.1859026335045497,9.31621221655179,11.263154637828702,-5.375306421514573
Fe,50.0,25.091702252669553,425.0,-40.0,43.869568283364835,0.1809437824336507,0.7262892026425178,2.75391162870125,6.745303612811952,11.263154637828702,-5.268535256774697
Fe,55.0,23.500167894474316,425.0,-35.0,41.31924660884885,0.17042476279733415,0.7410376733767708,3.2677382659824237,5.768162857659162,10.239062580464564,-5.242524290449595
Fe,60.0,22.678720637047594,425.0,-30.0,40.57264401643829,0.16734533661805345,0.7831473364817039,3.736825233770909,5.149254385021166,9.257088230579932,-5.234605206701081
Fe,65.0,21.69529763159804,425.0,-25.0,39.96323587305867,0.16483178066517234,0.8262323801699802,4.168343413751375,4.644377815940972,8.314685686050309,-5.228032542546886
Fe,70.0,20.84260828142439,425.0,-25.0,33.10409567278606,0.13654067089032046,0.7313519439691134,4.56786684562036,3.6802071856283765,8.314685686050309,-5.146253624663338
Fe,75.0,19.801723348328267,425.0,-20.0,33.15699723890934,0.13675886791950437,0.7775773051004647,4.9398142622058,3.405247784900875,7.4095101825844685,-5.146947089323315
Fe,80.0,19.191756752305498,425.0,-15.0,33.777291761315794,0.13931732567277244,0.8382774419388247,5.287747834037267,3.208666453880335,6.539398614949186,-5.15499672141847
Fe,85.0,18.691835331695167,425.0,-10.0,35.043322898746794,0.1445391792639875,0.9182516509224067,5.614581186238835,3.0809550135610415,5.702352278840991,-5.17097717658077
Fe,90.0,18.260843014032204,425.0,-10.0,29.54392809831167,0.12185645556223604,0.8157073673078586,5.922727867275459,2.529325333649857,5.702352278840991,-5.096840133895695
Fe,95.0,17.82739854448188,425.0,-5.0,31.015143996216153,0.12792461122822882,0.899040100583101,6.214209622419333,2.466815563410373,4.896521543557266,-5.117945698038798
