log10_alpha,alpha,Ru_cost,T_C,P_bar,Tsep_C,V_m3
-1.0,0.1,27.03445435957026,450.0,430.0,-5.0,0.09038399040248998
-0.9,0.12589254117941673,26.513206879928887,450.0,420.0,-5.0,0.07703078270562817
-0.8,0.15848931924611134,25.96288478754388,450.0,430.0,0.0,0.07970776543440479
-0.7,0.19952623149688797,25.452834594614387,450.0,430.0,5.0,0.0882158348155573
-0.6,0.251188643150958,24.94702561874306,450.0,425.0,5.0,0.07270073832109183
-0.5,0.31622776601683794,24.42791318244652,450.0,430.0,10.0,0.07724124660377314
-0.3999999999999999,0.3981071705534973,23.94244994807282,450.0,430.0,15.0,0.08475631332304959
-0.29999999999999993,0.5011872336272724,23.456736666181484,450.0,425.0,15.0,0.06995748293450285
-0.19999999999999996,0.6309573444801934,22.959839323421583,450.0,430.0,20.0,0.07351834805547018
-0.09999999999999998,0.7943282347242815,22.489917256943787,450.0,430.0,25.0,0.07989099401863829
0.0,1.0,22.03059478781101,450.0,425.0,25.0,0.0660321094260842
0.10000000000000009,1.2589254117941675,21.551892740779003,450.0,430.0,30.0,0.06863353473073919
0.20000000000000018,1.584893192461114,21.13194590461095,450.0,410.0,30.0,0.06431731949953291
0.30000000000000004,1.9952623149688797,20.72310678855463,450.0,385.0,30.0,0.06375192586310707
0.40000000000000013,2.511886431509581,20.32395137199568,450.0,365.0,30.0,0.06127173631847548
0.5,3.1622776601683795,19.935109785328574,450.0,345.0,30.0,0.05969979410231664
0.6000000000000001,3.981071705534973,19.557300328996288,450.0,325.0,30.0,0.05908982076845384
0.7000000000000002,5.011872336272725,19.190584570874773,450.0,310.0,30.0,0.056015893686061455
0.8,6.309573444801933,18.829010010607035,450.0,220.0,15.0,0.05827476696976997
0.9000000000000001,7.943282347242818,18.441317194798653,450.0,220.0,20.0,0.06697073846035302
1.0,10.0,18.058309517688677,450.0,220.0,20.0,0.05319674845939377
1.1,12.589254117941675,17.689390830483447,450.0,220.0,25.0,0.0612837612856628
1.2000000000000002,15.848931924611142,17.338884284384157,450.0,220.0,25.0,0.04867942191930478
1.3000000000000003,19.952623149688808,17.006114354114043,450.0,220.0,30.0,0.056459556418333647
1.4000000000000004,25.11886431509582,16.68317910622452,450.0,220.0,30.0,0.04484741978309093
1.5,31.622776601683793,16.426613750848226,450.0,220.0,30.0,0.03562357178824147
1.6,39.810717055349734,16.22123645786377,450.0,215.0,30.0,0.03138325282657698
1.7000000000000002,50.11872336272725,16.03840122040538,450.0,210.0,30.0,0.02777604527517898
1.8000000000000003,63.095734448019364,15.877244288192019,450.0,205.0,30.0,0.02471165014742272
1.9000000000000004,79.43282347242821,15.735787588733162,450.0,205.0,30.0,0.01962916143872632
2.0,100.0,15.611268643367268,450.0,200.0,30.0,0.017566870075484825
2.1,125.89254117941675,15.507485885919857,450.0,195.0,30.0,0.015827949864659813
2.2,158.48931924611142,15.416829870582603,450.0,195.0,30.0,0.012572587475299659
2.3000000000000003,199.52623149688807,15.298195384321653,425.0,190.0,30.0,0.027656220080273745
2.4000000000000004,251.18864315095823,15.125651350118293,425.0,185.0,30.0,0.02483213675682044
2.5,316.22776601683796,14.973971212478538,425.0,180.0,30.0,0.02244724733964157
2.6,398.1071705534973,14.845064513585847,425.0,175.0,30.0,0.020450005485052235
2.7,501.18723362727246,14.72797580163504,425.0,175.0,30.0,0.016244016757043418
2.8000000000000003,630.9573444801937,14.634922247981915,425.0,170.0,30.0,0.014934433487086488
2.9000000000000004,794.3282347242822,14.549376691160136,425.0,170.0,30.0,0.011862842188404603
3.0,1000.0,14.42549379650162,400.0,165.0,30.0,0.02888384461978887
3.1000000000000005,1258.9254117941687,14.254048218474267,400.0,160.0,30.0,0.026463616321445185
3.2,1584.893192461114,14.102574594895936,400.0,160.0,30.0,0.021020797637034256
3.3,1995.2623149688789,13.967794025325361,400.0,155.0,30.0,0.01944164552090115
3.4000000000000004,2511.886431509582,13.856471550245976,400.0,155.0,30.0,0.015443047966752624
3.5,3162.2776601683795,13.757181127640104,400.0,150.0,30.0,0.014443834838302248
3.6000000000000005,3981.0717055349774,13.674441643897294,400.0,150.0,30.0,0.011473145829757688
3.7,5011.872336272725,13.608695331807604,400.0,150.0,30.0,0.009113443673685684
3.8000000000000007,6309.573444801943,13.433289101343094,375.0,140.0,30.0,0.029607858202145967
3.9000000000000004,7943.282347242822,13.26383912127762,375.0,140.0,30.0,0.023518357739677465
4.0,10000.0,13.12079380019681,375.0,135.0,30.0,0.02221855945888932
4.1000000000000005,12589.254117941688,12.99359218090064,375.0,135.0,30.0,0.017648829113096023
4.2,15848.93192461114,12.892042816158671,375.0,130.0,30.0,0.01692154253264862
4.300000000000001,19952.62314968883,12.79513229994551,375.0,130.0,30.0,0.01344125900877061
4.4,25118.864315095823,12.718127476862149,375.0,130.0,30.0,0.010676771540908613
4.5,31622.776601683792,12.565207451385563,350.0,110.0,25.0,0.039869451068253924
4.6000000000000005,39810.71705534977,12.337096233413348,350.0,110.0,25.0,0.031669430686472225
4.7,50118.72336272725,12.155860353472402,350.0,110.0,25.0,0.025155922971908492
4.800000000000001,63095.73444801943,11.94167132575847,350.0,110.0,30.0,0.03176053474014586
4.9,79432.82347242821,11.759914618600146,350.0,110.0,30.0,0.025228289494039303
5.0,100000.0,11.615503974051999,350.0,110.0,30.0,0.02003954265891339
5.1000000000000005,125892.54117941688,11.500762441952268,350.0,110.0,30.0,0.01591797454493659
5.2,158489.3192461114,11.40959154357537,350.0,110.0,30.0,0.012644096620665539
5.300000000000001,199526.2314968883,11.337146676584801,350.0,110.0,30.0,0.010043562948376498
5.4,251188.6431509582,11.279579274159085,350.0,110.0,30.0,0.00797788562712611
5.5,316227.7660168379,11.23383198950372,350.0,110.0,30.0,0.006337059807027306
5.6000000000000005,398107.17055349774,11.19747600051142,350.0,110.0,30.0,0.00503370552985819
5.7,501187.2336272725,11.16858177216611,350.0,110.0,30.0,0.003998414427654113
5.800000000000001,630957.3444801943,11.14561639583944,350.0,110.0,30.0,0.0031760534740145866
5.9,794328.2347242822,11.12736203977327,350.0,110.0,30.0,0.00252282894940393
6.0,1000000.0,11.112851169136846,350.0,110.0,30.0,0.002003954265891339
