draw,E_N_Fe,E_N_Ru,E_N_Os,n_feasible,atomic_winner,raw_cost_winner,economic_winner,Fe_feasible,rho_raw,rho_censored,top1,top3_actionable
214,-1.3584246719820299,-1.0954259792114802,-1.002308655086504,3,Ru,Fe,Fe,1,0.9642857142857141,0.684172319121686,0.0,1.0
215,-1.4076710013599527,-1.1819954484580983,-1.1723377750079451,4,Ru,Fe,Fe,1,0.9607142857142855,0.7654432450185562,0.0,1.0
216,-1.3022139950494072,-1.000408783476511,-1.0049181879747133,3,Os,Fe,Fe,1,0.9392857142857142,0.679066555546151,0.0,1.0
217,-1.2395956767358607,-1.0573815921199268,-0.9827978635797585,3,Fe,Fe,Fe,1,0.932142857142857,0.6994896098482908,1.0,1.0
218,-1.3647994495413065,-1.2582364599283444,-1.1311584817906817,3,Os,Fe,Fe,1,0.932142857142857,0.679066555546151,0.0,1.0
219,-1.327510436104799,-1.2492772267023362,-1.1250209658379258,4,Os,Fe,Fe,1,0.9535714285714283,0.7608597525334153,0.0,1.0
220,-1.613765684832634,-1.0636966100846963,-1.2268070008808338,2,Os,Ru,Ru,0,0.9357142857142854,0.5855711622047578,0.0,0.6666666666666666
221,-1.0531150685589543,-1.0697504692402249,-1.2300588398510413,3,Os,Fe,Fe,1,0.8964285714285712,0.679066555546151,0.0,1.0
222,-1.3290160794366725,-1.1170037306854115,-1.1544522306169605,4,Os,Fe,Fe,1,0.9392857142857142,0.7608597525334153,0.0,1.0
223,-1.3161936298487351,-1.168602169806665,-1.2405497275533703,3,Ru,Fe,Fe,1,0.8892857142857141,0.684172319121686,0.0,1.0
224,-1.2440404093699384,-1.1209336726451042,-1.0929925883475955,3,Ru,Fe,Fe,1,0.9249999999999998,0.6943838462727558,0.0,1.0
225,-1.7134166549571068,-1.0488294108575975,-0.9950681019469532,3,Ru,Ru,Ru,0,0.9607142857142855,0.6994896098482908,1.0,1.0
226,-1.2249694904778352,-1.2135647617805574,-1.0928981525234063,3,Ru,Fe,Fe,1,0.9714285714285713,0.6943838462727558,0.0,1.0
227,-1.2937197804811442,-1.0622447053964188,-1.026532432481686,3,Ru,Fe,Fe,1,0.95,0.684172319121686,0.0,1.0
228,-1.520540671474859,-1.0269938107908922,-1.0561805359912606,3,Os,Fe,Fe,1,0.9249999999999998,0.679066555546151,0.0,1.0
229,-1.6457885979847018,-1.0793694019821554,-1.1812447090729574,2,Os,Ru,Ru,0,0.8964285714285712,0.5855711622047578,0.0,0.6666666666666666
230,-1.2659579797860014,-1.1896247413074117,-0.9893026446834787,3,Ru,Fe,Fe,1,0.9571428571428571,0.6943838462727558,0.0,1.0
231,-1.3228014738088463,-1.177413523173379,-1.2280989809288752,3,Ru,Fe,Fe,1,0.9571428571428571,0.684172319121686,0.0,1.0
232,-1.552882314056089,-1.1195975590239238,-1.141950114772896,4,Os,Ru,Ru,1,0.9249999999999998,0.7700267375036974,0.0,0.6666666666666666
233,-1.044993257797649,-1.2177015154855055,-1.2430503728279316,4,Ru,Fe,Fe,1,0.9357142857142854,0.7654432450185562,0.0,1.0
234,-1.324739054014792,-1.2598086207943342,-1.11148346484831,3,Os,Fe,Fe,1,0.9214285714285713,0.679066555546151,0.0,1.0
235,-1.3307919500516223,-1.0882790423769517,-0.9946687161785441,4,Ru,Fe,Fe,1,0.9785714285714284,0.7654432450185562,0.0,1.0
236,-1.2634736681338594,-1.0439852274623826,-1.1965806891382917,4,Os,Fe,Fe,1,0.9571428571428571,0.7654432450185562,0.0,1.0
237,-1.5587536667423336,-1.2788351545724803,-1.0031231454290475,3,Ru,Ru,Ru,1,0.9392857142857142,0.6994896098482908,1.0,1.0
238,-1.4206815109183974,-0.9974821532821607,-1.0822826220759043,3,Os,Fe,Fe,1,0.8964285714285712,0.679066555546151,0.0,1.0
239,-1.33057668394133,-1.0244587393499962,-0.964370370580324,5,Ru,Fe,Fe,1,0.9857142857142854,0.8270981320691836,0.0,1.0
240,-1.5914015171475622,-1.007487408615316,-1.217707612869344,3,Os,Ru,Ru,1,0.8964285714285712,0.6943838462727558,0.0,1.0
241,-1.6198963171988021,-0.9841433857499334,-1.0984540406080971,2,Os,Ru,Ru,0,0.9642857142857141,0.5855711622047578,0.0,0.6666666666666666
242,-1.049604892776081,-1.2001163144725413,-0.9869592785926959,3,Ru,Fe,Fe,1,0.9785714285714284,0.6943838462727558,0.0,1.0
243,-1.4643024949198953,-0.9883347636339788,-1.0596042802162344,4,Os,Fe,Fe,1,0.9571428571428571,0.7608597525334153,0.0,1.0
244,-1.5249970358997278,-1.0059092484109573,-1.0263412476654483,3,Os,Fe,Fe,1,0.9607142857142855,0.679066555546151,0.0,1.0
245,-0.9416338265706903,-1.0264975204100408,-1.0381654210688445,4,Os,Fe,Fe,1,0.9357142857142854,0.7608597525334153,0.0,1.0
246,-1.9735847524761603,-1.150339277259068,-1.18917507318782,2,Os,Ru,Ru,0,0.8821428571428571,0.5855711622047578,0.0,0.6666666666666666
247,-1.0278987826446373,-0.9864615863121997,-1.1163898338245923,3,Os,Fe,Fe,1,0.932142857142857,0.684172319121686,0.0,1.0
248,-1.2643412446367257,-1.0160642165691696,-1.1718559166963383,4,Os,Fe,Fe,1,0.9678571428571429,0.7654432450185562,0.0,1.0
249,-1.6163880790313951,-1.2279711802545519,-1.0779743102673116,3,Ru,Ru,Ru,0,0.9571428571428571,0.6994896098482908,1.0,1.0
250,-1.5592457424101047,-1.2433415372090095,-1.0629155604068516,3,Ru,Ru,Ru,1,0.9535714285714283,0.6994896098482908,1.0,1.0
251,-1.500351727974216,-0.9940034022868598,-1.1802332458554137,3,Os,Fe,Fe,1,0.9392857142857142,0.679066555546151,0.0,1.0
252,-1.3195782942286505,-1.0179905227188972,-0.963212986967378,3,Ru,Fe,Fe,1,0.9571428571428571,0.684172319121686,0.0,1.0
253,-1.6740308515053994,-1.1414516275828857,-0.995868863929549,2,Ru,Ru,Ru,0,0.9285714285714284,0.5916079783099615,1.0,0.6666666666666666
254,-1.39762636127036,-1.2038003580793903,-1.112495698773627,5,Ru,Fe,Fe,1,0.9749999999999999,0.8270981320691836,0.0,1.0
255,-1.229995485840928,-1.1722916114869764,-1.1908025702010518,3,Ru,Fe,Fe,1,0.9535714285714283,0.684172319121686,0.0,1.0
256,-1.5551071900126647,-1.193440313378912,-1.1086953852084167,3,Ru,Ru,Ru,1,0.907142857142857,0.6994896098482908,1.0,1.0
257,-1.5104723507372961,-1.2521682263315979,-1.1768572400258834,3,Os,Fe,Fe,1,0.9357142857142854,0.679066555546151,0.0,1.0
258,-1.868388045080688,-1.2122441121533203,-1.172255691674001,2,Os,Ru,Ru,0,0.9249999999999998,0.5855711622047578,0.0,0.6666666666666666
259,-1.0909328527366462,-1.2690412646633165,-1.1098461437991332,3,Os,Fe,Fe,1,0.9678571428571429,0.684172319121686,0.0,1.0
260,-1.5590796064788959,-1.1404827891976432,-1.03830987269413,3,Ru,Ru,Ru,1,0.9392857142857142,0.6663021466073136,1.0,0.6666666666666666
261,-1.2613274864249067,-1.2422365809840408,-1.127340534929001,3,Os,Fe,Fe,1,0.9214285714285713,0.679066555546151,0.0,1.0
262,-1.667457552643361,-1.1849346142519301,-0.9934826272276684,3,Ru,Ru,Ru,0,0.9714285714285713,0.6994896098482908,1.0,1.0
263,-1.8457572623346807,-1.187413912039919,-1.1916715909807725,3,Ru,Ru,Ru,0,0.9678571428571429,0.6994896098482908,1.0,1.0
264,-1.3774519584103344,-1.2468315678858894,-1.1964700316476966,3,Os,Fe,Fe,1,0.9464285714285712,0.679066555546151,0.0,1.0
265,-1.5267767547783497,-1.185735135949081,-1.217755286890244,3,Ru,Ru,Ru,1,0.8964285714285712,0.6943838462727558,1.0,1.0
266,-1.5604691635400165,-1.086664096153856,-1.1855998538477504,4,Os,Ru,Ru,1,0.9714285714285713,0.7700267375036974,0.0,0.6666666666666666
267,-1.5232611007435921,-1.1064032643138593,-1.0285314058039376,3,Ru,Ru,Ru,1,0.9714285714285713,0.6943838462727558,1.0,1.0
268,-1.5449153532751108,-1.0933748613580183,-1.0476144267482081,3,Ru,Ru,Ru,1,0.9464285714285712,0.6663021466073136,1.0,0.6666666666666666
269,-1.489152093173862,-1.1190776453412077,-0.9985151511764863,3,Ru,Fe,Fe,1,0.95,0.684172319121686,0.0,1.0
270,-1.4908434484153066,-1.2723389708641464,-1.0603327254552914,3,Os,Fe,Fe,1,0.9178571428571428,0.679066555546151,0.0,1.0
271,-1.4881818880277227,-1.1500942989899512,-1.2578801961845523,3,Ru,Fe,Fe,1,0.9214285714285713,0.684172319121686,0.0,1.0
272,-1.416032218524096,-1.1308775787257186,-1.2144445525818643,3,Os,Fe,Fe,1,0.932142857142857,0.679066555546151,0.0,1.0
273,-1.2447033347251795,-1.0443120909770949,-1.0898747287775994,4,Fe,Fe,Fe,1,0.9642857142857141,0.7746102299888384,1.0,1.0
274,-1.2897846566826712,-1.024500868105759,-1.049136457690146,3,Os,Fe,Fe,1,0.9607142857142855,0.679066555546151,0.0,1.0
275,-0.9069760435764158,-0.9982078929092106,-1.1058553244873162,3,Os,Fe,Fe,1,0.932142857142857,0.679066555546151,0.0,1.0
276,-1.1899241740027608,-1.2234050869357207,-1.1915542798418155,4,Fe,Fe,Fe,1,0.982142857142857,0.7746102299888384,1.0,1.0
277,-1.5390742909391546,-1.1156742271459468,-1.0483503115497559,3,Ru,Ru,Ru,1,0.9392857142857142,0.6943838462727558,1.0,1.0
278,-1.5523351711949274,-1.1957011628932834,-1.0208247953485279,3,Ru,Ru,Ru,1,0.932142857142857,0.6994896098482908,1.0,1.0
279,-1.307842261115348,-1.1486564226948375,-1.0695099853830783,3,Ru,Fe,Fe,1,0.95,0.684172319121686,0.0,1.0
280,-1.5573283165762313,-1.0448148267966786,-1.0423133606957444,4,Ru,Ru,Ru,1,0.9749999999999999,0.7746102299888384,1.0,0.6666666666666666
281,-1.648606324928504,-1.080507605130607,-0.9962060490739671,3,Ru,Ru,Ru,0,0.9642857142857141,0.6994896098482908,1.0,1.0
282,-1.2381855749492963,-1.0929698994150039,-1.2416006746547845,3,Fe,Fe,Fe,1,0.9714285714285713,0.6943838462727558,1.0,1.0
283,-1.509987196862225,-1.192176844355767,-1.0827681524806925,3,Ru,Fe,Fe,1,0.914285714285714,0.684172319121686,0.0,1.0
284,-0.9810907435832892,-1.237108759135321,-1.0407541310337605,3,Ru,Fe,Fe,1,0.9357142857142854,0.684172319121686,0.0,1.0
285,-1.5349210716964823,-1.0935037269507855,-1.212713162005125,4,Os,Ru,Ru,1,0.9571428571428571,0.7700267375036974,0.0,0.6666666666666666
286,-0.8610812788358356,-1.0269697094429024,-1.0958462883084816,4,Os,Fe,Fe,1,0.9571428571428571,0.7608597525334153,0.0,1.0
287,-1.3788343944185923,-1.1759143030367118,-1.2297483895945327,3,Ru,Fe,Fe,1,0.8964285714285712,0.684172319121686,0.0,1.0
288,-1.5466277687600112,-1.266582134854912,-1.0330182364758862,3,Ru,Ru,Ru,1,0.9428571428571427,0.6994896098482908,1.0,1.0
289,-1.6758036489310686,-1.2303512092331017,-1.2010522981645164,2,Os,Ru,Ru,0,0.914285714285714,0.5855711622047578,0.0,0.6666666666666666
290,-1.3496343409506173,-1.1412780208965119,-0.9846865337491237,4,Ru,Fe,Fe,1,0.9464285714285712,0.7654432450185562,0.0,1.0
291,-1.4556282130660487,-0.9935673133747602,-1.04079815740224,3,Os,Fe,Fe,1,0.95,0.679066555546151,0.0,1.0
292,-1.277724899490917,-1.1569428880067307,-1.122612635155156,3,Ru,Fe,Fe,1,0.9357142857142854,0.684172319121686,0.0,1.0
293,-1.5070911331695276,-1.243986458015564,-1.2162226637578446,3,Os,Fe,Fe,1,0.9285714285714284,0.679066555546151,0.0,1.0
294,-1.5580461006158073,-0.996625896301175,-1.0876016369998014,3,Os,Ru,Ru,1,0.9249999999999998,0.6943838462727558,0.0,1.0
295,-1.418716618622828,-1.0097354136459629,-1.2202744445628713,4,Os,Fe,Fe,1,0.9392857142857142,0.7608597525334153,0.0,1.0
296,-1.637550857230499,-1.0454759794299013,-1.1844893690468628,2,Os,Ru,Ru,0,0.9035714285714285,0.5855711622047578,0.0,0.6666666666666666
297,-1.2597070161707482,-1.1611521138536949,-0.9686200746757321,3,Ru,Fe,Fe,1,0.982142857142857,0.6943838462727558,0.0,1.0
298,-1.3361145772810112,-1.2473054792604625,-1.1168055009798494,3,Os,Fe,Fe,1,0.8749999999999999,0.679066555546151,0.0,1.0
299,-1.5744762790155724,-1.0692466611178437,-1.026310655157191,3,Ru,Ru,Ru,1,0.9392857142857142,0.6994896098482908,1.0,1.0
300,-1.534999773547323,-1.0169275621351324,-0.9918923443720493,3,Ru,Ru,Ru,1,0.907142857142857,0.6943838462727558,1.0,1.0
301,-1.4158053042925633,-1.2044313665916508,-1.1435357354840883,3,Ru,Fe,Fe,1,0.9178571428571428,0.684172319121686,0.0,1.0
302,-1.8341857828237773,-1.0832683566493777,-1.1308453490818366,2,Os,Ru,Ru,0,0.8749999999999999,0.5855711622047578,0.0,0.6666666666666666
303,-1.2698502180081064,-1.1799189000685768,-1.0834185705318025,3,Ru,Fe,Fe,1,0.9249999999999998,0.684172319121686,0.0,1.0
304,-1.3751004233477453,-1.056507792703646,-1.027848180045738,3,Ru,Fe,Fe,1,0.9642857142857141,0.684172319121686,0.0,1.0
305,-1.6662124997038517,-1.151147638018742,-1.1243817536921223,3,Ru,Ru,Ru,0,0.9678571428571429,0.6994896098482908,1.0,1.0
