metal,dEO_eV,atomic_rank,atomic_log10TOF_ref,theta_O_ref,economic_rank_feasible,feasible,cost_USD_per_tN2O,T_opt_C,D_opt_m,L_m,V_m3,metal_kg,dP_bar,metal_cost,reactor_base,vessel_pressure_premium,heating,pressure_drop,elasticity_dlnC_dlnTOF,price_USD_kg
Pd,-1.25,1,-3.4454,0.91763,4,True,571.468,650.0,8.0,0.252,12.675,126.75,0.0075,214.597,7.383,1.4779,346.962,1.049,-0.3896234097567698,40670.694409279
Cu,-1.05,2,-3.4501,0.78657,1,True,204.366,515.0,8.0,2.922,146.863,1468.63,0.0741,0.849,21.83,29.4882,143.31,8.889,-0.29986736252355206,13.889122517655
Pt,-0.9,3,-3.5783,0.6729,5,True,1024.257,650.0,8.0,0.612,30.774,307.74,0.0182,659.869,10.672,4.2068,346.962,2.548,-0.6508781295394702,51508.71107755406
Ag,-0.45,4,-4.1987,0.31598,2,True,405.791,635.0,8.0,1.32,66.333,663.33,0.0385,50.356,15.04,10.74,324.334,5.321,-0.19077773712761126,1823.590345370992
Ir,-1.55,5,-4.317,0.99739,6,True,7187.509,650.0,8.0,1.289,64.816,648.16,0.0383,6809.859,14.881,10.4355,346.962,5.372,-0.9475913312014314,252383.36056351
Rh,-1.65,6,-4.7895,0.99946,7,True,8428.741,650.0,8.0,1.45,72.886,728.86,0.0431,8047.953,15.706,12.0786,346.962,6.043,-0.9552472221914667,265243.65919095
Au,0.25,7,-5.4977,0.00096,,False,,,,,,,,,,,,,,128732.2322756058
Ni,-1.85,8,-5.7613,0.99998,3,True,446.812,650.0,8.0,4.522,227.301,2273.01,0.1343,1.6,26.944,52.3756,346.962,18.931,,16.9094555095895
Co,-2.05,9,-6.7368,1.0,,False,,,,,,,,,,,,,,56.28401553583051
Ru,-2.15,10,-7.2247,1.0,,False,,,,,,,,,,,,,,53852.5
Os,-2.3,11,-7.9564,1.0,,False,,,,,,,,,,,,,,142650.0
Fe,-2.55,12,-9.1761,1.0,,False,,,,,,,,,,,,,,8.0
W,-3.45,13,-9.7615,1.0,,False,,,,,,,,,,,,,,149.97
Mo,-3.2,14,-10.2842,1.0,,False,,,,,,,,,,,,,,91.22728409215301
Re,-2.9,15,-10.9114,1.0,,False,,,,,,,,,,,,,,5757.64
